"easting" "northing" "ammonia" "nitoxides"
256 258 3 3
256 276 3 3
256 293 1 1
275 258 2 3
275 276 422 57
275 293 77 20
275 311 166 54
275 329 10 35
275 346 1 4
275 539 7 6
275 557 2 2
295 276 2 2
295 293 16 3
295 311 3 4
295 329 2 3
295 346 6 5
295 434 19 11
295 452 3 6
295 469 3 3
295 487 2 1
295 504 2 3
295 539 1 2
295 575 1 1
314 135 61 36
314 241 2 1
314 258 16 22
314 276 11 108
314 293 542 395
314 311 418 376
314 329 5 1
314 399 60 37
314 416 2 3
314 434 2 1
314 452 10 9
314 469 1 3
314 504 1 1
314 522 2 2
314 539 1 2
314 575 36 25
314 592 22 10
333 100 2 1
333 118 18 30
333 135 1 6
333 153 163 201
333 223 21 17
333 241 6 8
333 258 2 4
333 276 90 96
333 293 403 275
333 311 78 80
333 381 2 5
333 399 1 4
333 416 46 38
333 434 3 11
333 469 10 8
333 487 5 3
333 504 2 5
333 522 1 5
333 539 2 5
333 557 1 3
333 575 120 38
333 592 7 15
353 65 4 2
353 82 873 147
353 100 2 9
353 118 1 1
353 135 30 9
353 153 34 50
353 170 9 4
353 223 22 18
353 241 31 36
353 258 17 15
353 276 73 96
353 293 582 145
353 311 1 7
353 381 4 4
353 399 3 5
353 416 34 41
353 434 6 6
353 452 1 7
353 469 9 8
353 487 2 4
353 504 7 9
353 522 3 13
353 539 57 8
353 557 4 7
353 575 1 2
372 65 2 1
372 82 1 1
372 100 2 5
372 135 27 7
372 153 4 1
372 170 6 11
372 223 2 57
372 241 10 26
372 258 137 125
372 276 6 18
372 293 349 169
372 311 288 255
372 329 16 36
372 364 4 21
372 381 41 49
372 399 9 40
372 416 51 30
372 434 65 24
372 452 9 32
372 469 2 1
372 487 66 20
372 504 24 13
372 522 4 11
372 539 14 7
372 698 16 26
392 65 16 15
392 82 35 15
392 118 22 15
392 135 370 74
392 153 4 3
392 170 112 49
392 188 7 10
392 205 134 49
392 223 171 34
392 241 32 32
392 258 519 207
392 276 272 86
392 293 112 242
392 311 662 557
392 329 111 358
392 346 148 136
392 364 330 159
392 381 108 84
392 399 44 24
392 416 14 13
392 434 1 15
392 452 26 50
392 487 3 25
392 504 14 27
392 522 5 11
392 539 4 5
392 575 3 5
392 592 7 2
392 610 16 9
392 645 26 24
411 65 35 20
411 82 2 5
411 100 12 30
411 135 5 3
411 153 8 10
411 170 2 2
411 188 25 34
411 205 113 21
411 223 10 21
411 241 27 26
411 258 19 28
411 276 121 24
411 293 146 69
411 311 633 328
411 329 243 325
411 346 242 163
411 364 43 52
411 381 3 10
411 399 3 9
411 416 5 3
411 434 2 1
411 487 275 45
411 504 50 30
411 522 361 28
411 539 6 2
411 557 1 2
411 575 11 2
411 627 16 24
411 663 52 30
411 680 13 2
430 65 2 2
430 82 15 14
430 118 2 5
430 135 1 1
430 153 276 151
430 170 15 4
430 188 48 24
430 205 37 43
430 223 4 14
430 241 28 78
430 258 157 43
430 276 99 63
430 293 473 163
430 311 537 378
430 329 166 64
430 346 600 284
430 364 108 184
430 381 345 108
430 399 1 2
430 452 1 2
430 469 3 11
430 487 34 11
430 504 14 15
430 522 14 18
430 539 2 2
430 557 4 5
430 680 1 2
450 65 1 4
450 100 16 5
450 118 46 43
450 135 223 85
450 153 274 30
450 170 347 98
450 188 16 7
450 205 10 12
450 223 129 53
450 241 36 49
450 258 300 74
450 276 90 106
450 293 188 109
450 311 351 124
450 329 123 139
450 346 799 503
450 364 463 283
450 381 1 2
450 399 22 25
450 416 48 25
450 434 3 3
450 452 17 5
450 469 11 20
450 487 1 1
450 504 43 5
450 522 23 40
450 539 1 1
450 610 4 2
450 645 5 2
450 663 2 2
469 82 1 1
469 153 30 10
469 223 331 54
469 241 72 58
469 258 80 94
469 276 117 121
469 293 8 39
469 311 100 139
469 329 16 24
469 346 29 180
469 364 467 307
469 381 148 34
469 399 16 161
469 416 7 36
469 452 4 12
469 469 6 3
469 487 2 2
469 504 1 1
469 522 1 1
469 539 1 1
469 557 1 2
469 575 1 1
469 592 2 1
469 680 21 15
469 698 32 14
489 82 2 2
489 100 11 10
489 258 39 117
489 276 70 175
489 293 447 88
489 311 97 38
489 329 4 58
489 346 8 17
489 364 864 225
489 381 615 541
489 399 534 88
489 416 121 108
489 434 9 8
489 452 4 5
489 469 18 15
489 487 9 15
489 504 5 2
489 522 3 1
489 557 8 12
489 575 2 12
489 645 24 15
489 663 6 2
489 680 13 24
489 698 2 14
508 135 1 1
508 258 94 68
508 276 103 114
508 293 90 46
508 311 12 40
508 329 12 45
508 346 15 71
508 364 20 60
508 381 316 111
508 399 100 59
508 416 4 15
508 452 1 2
508 469 71 100
508 487 28 15
508 504 29 14
508 522 1 2
508 539 13 12
508 557 131 149
508 575 7 24
508 592 7 7
508 610 3 2
508 627 3 2
508 645 1 2
508 663 24 5
508 680 3 19
508 698 51 63
527 135 1 2
527 205 25 27
527 223 44 14
527 258 158 85
527 276 26 48
527 311 5 26
527 329 302 55
527 346 67 71
527 364 29 106
527 381 164 112
527 399 2 4
527 416 106 9
527 434 1 1
527 452 4 2
527 469 5 5
527 487 1 2
527 522 2 1
527 539 10 36
527 557 286 36
527 575 18 24
527 592 23 43
527 610 20 9
527 627 24 12
527 645 1 2
527 663 10 24
527 680 11 2
527 698 7 63
547 188 4 4
547 205 5 3
547 258 12 97
547 276 176 83
547 293 3 3
547 311 8 8
547 329 4 11
547 346 21 17
547 364 59 35
547 381 35 24
547 399 12 5
547 416 80 9
547 434 2 1
547 469 1 7
547 487 1 1
547 522 3 2
547 539 7 15
547 557 21 38
547 575 20 5
547 610 1 2
547 627 2 24
547 645 21 5
547 663 20 24
547 680 4 2
547 698 154 58
566 258 19 58
566 276 51 43
566 311 12 7
566 329 3 7
566 346 29 32
566 364 76 33
566 381 9 6
566 399 12 43
566 416 1 5
566 434 11 5
566 452 1 3
566 469 201 76
566 539 53 33
566 557 4 7
566 627 7 24
566 645 2 24
566 663 15 5
566 680 1 12
566 698 120 12
586 170 1 2
586 205 8 9
586 223 3 8
586 258 12 35
586 276 61 30
586 311 38 7
586 346 29 20
586 364 3 6
586 381 1 1
586 399 2 6
586 416 16 4
586 434 1 1
586 452 1 1
586 469 1 1
586 487 1 1
586 504 2 2
586 522 2 22
586 539 1 1
586 592 5 24
586 610 1 2
586 627 1 1
586 645 2 2
586 698 1 2
605 223 218 58
605 241 7 16
605 258 25 32
605 276 9 29
605 293 8 5
605 311 1 4
605 329 2 3
605 346 3 17
605 364 5 11
605 381 206 95
605 399 202 93
605 416 4 7
605 434 3 38
605 452 41 7
605 469 49 76
605 487 26 76
605 504 7 5
605 522 594 65
605 539 12 5
605 557 3 2
605 575 6 5
605 592 4 5
605 645 1 1
605 680 4 7
605 698 13 12
624 153 1 2
624 223 16 23
624 241 2 6
624 258 1 4
624 293 1 2
624 311 3 3
624 346 15 64
624 364 20 16
624 381 1 5
624 399 19 7
624 416 1 2
624 469 1 5
624 487 1 2
624 504 65 24
624 522 86 413
624 539 132 38
624 557 1 2
624 575 506 38
624 698 1 2
644 153 2 4
644 311 155 47
644 329 6 7
644 346 2 3
644 364 42 41
644 381 10 4
644 399 36 5
644 469 2 1
644 522 4 5
644 539 1 2
663 153 4 7
663 311 2 2
663 364 4 3
663 381 20 5
663 504 10 15
663 610 4 5
663 645 2 1
683 293 42 27
683 311 63 30
683 329 7 2
683 346 9 8
683 364 1 3
683 381 3 4
683 399 3 37
683 416 5 11
683 434 1 1
683 504 22 5
683 539 2 2
702 346 28 35
702 364 1 1
702 381 2 3
702 399 1 3
702 452 2 1
702 522 1 2
702 557 4 2
702 627 3 1
721 416 43 42
721 434 1 1
721 452 4 3
721 469 13 3
721 522 1 3
721 539 5 2
721 592 1 1
741 188 4 4
741 241 3 2
741 364 8 14
741 452 1 1
741 504 1 1
741 557 1 2
760 487 1 1
760 539 2 1
760 575 3 2
760 592 1 1
760 610 7 12
