"id" "x" "y" "rainfall" "long" "lat"
287 33874 105361 184 8.622 47.779
292 37632 102049 121 8.672 47.749
259 23427 101974 138 8.485 47.749
319 46630 98778 126 8.79 47.719
257 21952 96409 156 8.465 47.698
302 42166 95408 100 8.731 47.689
286 33933 95354 120 8.623 47.688
355 60902 93348 131 8.977 47.67
258 22714 93076 124 8.475 47.667
375 68402 92319 142 9.076 47.661
362 63172 91149 136 9.007 47.65
333 53434 91052 139 8.879 47.649
284 33209 90903 113 8.613 47.648
369 65456 87838 118 9.037 47.62
400 81960 86933 127 9.254 47.611
335 54225 86611 131 8.89 47.609
263 25738 86417 153 8.515 47.607
402 83475 85842 115 9.274 47.602
314 45988 85429 107 8.781 47.598
297 39239 85380 96 8.693 47.597
372 66256 83399 109 9.048 47.579
152 -38004 83148 152 7.678 47.577
138 -42513 82067 107 7.618 47.567
178 -26758 81974 213 7.825 47.566
187 -24508 81964 238 7.855 47.566
251 19006 81944 124 8.427 47.566
378 70784 81227 140 9.107 47.559
332 53526 81045 123 8.88 47.558
129 -45522 80978 108 7.579 47.557
233 5503 80804 225 8.249 47.556
405 84305 80294 109 9.285 47.551
393 76801 80191 90 9.186 47.55
352 60291 79998 129 8.969 47.548
132 -44038 78742 123 7.598 47.537
163 -33529 78673 161 7.736 47.536
365 64818 77822 109 9.029 47.528
137 -42545 77619 133 7.618 47.527
146 -41044 77608 148 7.638 47.526
148 -39542 77598 152 7.657 47.526
374 68585 76753 142 9.078 47.519
170 -29037 76425 260 7.795 47.516
268 27284 76417 144 8.536 47.516
212 -11016 75252 324 8.032 47.505
421 94901 74895 144 9.424 47.502
128 -45574 74306 136 7.578 47.496
145 -41067 74273 142 7.637 47.496
177 -26794 74190 315 7.825 47.495
180 -26043 74187 338 7.835 47.495
398 80645 73570 68 9.237 47.49
382 71629 73454 128 9.118 47.489
354 61111 73335 126 8.98 47.488
342 55851 73283 131 8.911 47.487
162 -33561 73113 253 7.736 47.485
244 13024 73032 183 8.348 47.485
341 55862 72171 141 8.911 47.477
309 45341 72080 104 8.773 47.476
151 -38077 72029 151 7.677 47.476
267 27305 71969 133 8.536 47.475
256 22045 71947 147 8.467 47.475
207 -14028 71922 330 7.993 47.475
222 -2004 71906 266 8.151 47.474
351 60382 71103 134 8.97 47.467
136 -42594 70948 151 7.617 47.466
173 -28312 70862 325 7.805 47.465
240 10774 70804 212 8.319 47.464
225 251 70794 286 8.18 47.464
134 -43354 69841 102 7.607 47.456
181 -25311 69736 331 7.844 47.455
248 16790 69706 132 8.398 47.454
438 103261 69475 303 9.534 47.452
443 107040 68430 249 9.584 47.443
428 98769 68285 116 9.475 47.441
418 93505 68200 125 9.406 47.441
66 -84732 68067 135 7.064 47.439
100 -64428 67810 196 7.33 47.437
135 -42618 67612 153 7.617 47.435
298 40111 67594 94 8.704 47.435
273 29582 67532 143 8.566 47.435
192 -21560 67497 380 7.894 47.434
201 -17799 67485 335 7.943 47.434
167 -30591 66425 289 7.775 47.425
266 26579 66406 146 8.526 47.424
197 -20059 66380 350 7.913 47.424
433 101815 66113 149 9.515 47.422
55 -92287 65956 105 6.964 47.42
395 77743 65746 61 9.199 47.418
206 -14797 65252 367 7.983 47.414
368 65718 64488 130 9.041 47.407
169 -29097 64194 325 7.795 47.404
250 18311 64151 164 8.418 47.404
450 111636 64067 156 9.644 47.403
427 97339 63814 140 9.456 47.401
349 59710 63313 89 8.962 47.396
157 -35877 63119 320 7.706 47.394
415 92088 62617 111 9.387 47.39
404 84561 62504 126 9.288 47.389
90 -71263 62329 230 7.241 47.387
166 -31367 61982 386 7.765 47.384
179 -26097 61956 356 7.834 47.384
218 -6524 61902 254 8.091 47.383
437 103398 61692 392 9.536 47.381
414 89094 61459 119 9.348 47.379
161 -33631 60882 400 7.735 47.374
274 30369 60865 75 8.576 47.374
394 77816 60187 63 9.2 47.368
346 58991 59969 118 8.952 47.366
331 53719 59919 119 8.883 47.365
308 45436 59849 115 8.774 47.365
384 73312 59018 60 9.14 47.357
107 -61512 58883 176 7.369 47.356
255 22095 58604 163 8.467 47.353
409 86885 58090 137 9.319 47.349
296 39426 57582 106 8.695 47.344
168 -29884 57526 334 7.784 47.343
196 -20090 57484 301 7.913 47.343
120 -49480 56546 267 7.527 47.334
261 24364 56389 124 8.497 47.333
417 93700 55970 185 9.408 47.329
230 1759 55227 216 8.2 47.322
390 76383 54608 95 9.181 47.317
156 -35931 54224 310 7.705 47.313
403 84689 53610 72 9.29 47.308
321 48503 53202 58 8.814 47.304
279 31917 53089 77 8.596 47.303
200 -18597 53032 322 7.933 47.302
219 -3518 53004 226 8.131 47.302
426 97523 52695 231 9.459 47.299
334 54545 52142 88 8.894 47.294
133 -43485 52051 304 7.606 47.293
411 87738 51430 118 9.33 47.288
329 53046 51017 120 8.874 47.284
270 28158 50846 120 8.547 47.283
252 19861 50812 127 8.438 47.282
345 58337 49954 65 8.944 47.274
307 45513 49842 66 8.775 47.273
85 -75197 49033 209 7.189 47.266
381 71928 48992 152 9.122 47.266
371 66647 48930 91 9.053 47.265
106 -61617 48876 208 7.367 47.265
124 -47282 48744 258 7.556 47.263
278 31941 48641 124 8.597 47.262
242 12324 48568 178 8.339 47.262
60 -88794 48109 266 7.01 47.258
172 -28425 47511 327 7.803 47.252
232 4779 47445 165 8.24 47.251
412 88559 46994 116 9.341 47.247
406 85540 46949 178 9.301 47.247
119 -49564 46539 288 7.526 47.243
127 -45799 45396 306 7.575 47.233
305 44793 45389 45 8.766 47.233
265 26674 45279 73 8.528 47.232
431 99917 44950 311 9.49 47.229
324 50086 44319 48 8.835 47.223
186 -24666 44159 311 7.853 47.222
294 38768 43122 67 8.686 47.212
276 31216 43078 86 8.587 47.212
229 1762 41883 212 8.2 47.201
410 87887 41423 140 9.332 47.197
158 -35257 40876 350 7.714 47.192
430 99992 40503 205 9.491 47.188
399 81859 40225 184 9.253 47.186
348 59947 39962 86 8.965 47.183
328 52391 39891 54 8.865 47.183
211 -11083 39670 196 8.031 47.181
72 -82882 39127 194 7.088 47.176
272 29728 38622 85 8.568 47.171
264 26705 38608 63 8.528 47.171
254 21414 38586 60 8.458 47.171
364 64505 37786 117 9.025 47.163
338 55434 37694 64 8.905 47.163
59 -88961 36991 251 7.008 47.156
