"long","lat","gravity"
-119.0175,45.0488,-128.38
-118.6194,45.0281,-151.03
-118.2871,45.0394,-137.44
-117.8326,45.0487,-118.83
-117.4758,45.0205,-145.28
-117.131,45.038,-158.14
-116.7659,45.0181,-157.3
-116.4359,45.027,-158.99
-116.0853,45.0214,-172.32
-115.6258,45.0294,-213.46
-115.2357,45.033,-227.62
-114.9914,45.039,-182.01
-114.5878,45.037,-234.97
-114.1564,45.0237,-224
-113.8633,45.0378,-216.67
-113.5342,45.0171,-208.98
-113.1381,45.0355,-208.08
-118.9899,45.1335,-114.01
-118.5534,45.1311,-131.03
-118.1647,45.1621,-129.33
-117.8205,45.1353,-138.11
-117.46,45.1466,-168.92
-117.0917,45.1306,-173.12
-116.7947,45.1385,-168.09
-116.4264,45.1385,-181.21
-116.0717,45.1661,-179.25
-115.6734,45.1427,-210.38
-115.2558,45.1534,-207.74
-114.9768,45.1332,-201.46
-114.6254,45.1285,-244.15
-114.1321,45.1457,-229.5
-113.8026,45.1503,-221.41
-113.5296,45.1676,-211.87
-113.1681,45.1568,-216.42
-119.0144,45.25,-94.63
-118.514,45.2707,-116.23
-118.1652,45.2443,-112.87
-117.7916,45.2346,-126.52
-117.4883,45.2699,-174.79
-117.1494,45.2398,-166.72
-116.82,45.2736,-156.65
-116.3805,45.2755,-174.53
-116.0229,45.2456,-184.62
-115.6286,45.2631,-202.53
-115.3251,45.2398,-217.06
-114.9901,45.2749,-207.72
-114.5875,45.2425,-233.57
-114.2547,45.2513,-222.25
-113.8812,45.2468,-217.91
-113.476,45.2762,-217.07
-113.1215,45.2722,-231.35
-118.9984,45.347,-119.77
-118.6115,45.3554,-116.66
-118.1899,45.3792,-109.49
-117.8916,45.3737,-130.09
-117.4877,45.3458,-151.75
-117.1867,45.3546,-133.85
-116.8244,45.3732,-139.1
-116.4363,45.3712,-160.68
-116.0941,45.348,-195.2
-115.6124,45.3721,-209.98
-115.3391,45.3563,-198.28
-114.8747,45.362,-207.03
-114.581,45.3772,-202.45
-114.1568,45.3553,-230.82
-113.8836,45.3494,-211.52
-113.5133,45.3628,-226.59
-113.1499,45.3873,-224.26
-118.9726,45.4651,-123.16
-118.637,45.4878,-117.08
-118.1945,45.4862,-114.55
-117.9003,45.4911,-124.29
-117.4832,45.4854,-129.37
-117.1735,45.4904,-124.73
-116.7054,45.4716,-140.41
-116.331,45.473,-136.85
-116.0912,45.4862,-195.83
-115.6894,45.4656,-209.16
-115.2388,45.4622,-194.95
-114.917,45.4557,-213.67
-114.608,45.4898,-198.36
-114.1958,45.4647,-215.34
-113.8467,45.4882,-204.9
-113.4772,45.4587,-244.25
-113.1198,45.4947,-229.33
-118.941,45.5736,-105.56
-118.634,45.5769,-108.69
-118.2717,45.564,-127.83
-117.8565,45.5665,-120.86
-117.5389,45.567,-124.24
-117.1794,45.5976,-122.1
-116.7246,45.6052,-131.27
-116.4125,45.5913,-127.96
-116.0276,45.5805,-179.6
-115.6939,45.5673,-193.07
-115.3496,45.5945,-191.33
-114.8854,45.5786,-200.68
-114.5878,45.5793,-204.96
-114.265,45.584,-199.31
-113.8333,45.6032,-209.95
-113.4823,45.5982,-243.65
-113.0573,45.5938,-233.32
-118.9608,45.7144,-91
-118.5946,45.6868,-102.46
-118.2376,45.712,-131.38
-117.8529,45.6863,-119.73
-117.5427,45.7114,-126.14
-117.0741,45.7059,-124.84
-116.7103,45.6738,-115.78
-116.447,45.7027,-126.95
-116.0322,45.6936,-164.5
-115.7115,45.7161,-178.87
-115.2361,45.7167,-188.12
-114.9346,45.6958,-187.11
-114.523,45.7079,-192.2
-114.132,45.7098,-217.64
-113.8562,45.6773,-206.63
-113.4238,45.7154,-239.24
-113.0346,45.676,-225.39
-119.0102,45.7884,-81.17
-118.5668,45.8148,-96.98
-118.2395,45.8014,-125.27
-117.7854,45.7905,-126.97
-117.44,45.8147,-127.57
-117.1077,45.8062,-125.95
-116.7501,45.8024,-113.97
-116.419,45.8083,-123.73
-115.9758,45.8249,-150.6
-115.6034,45.807,-175.81
-115.3009,45.8161,-186.83
-114.8809,45.8157,-197.66
-114.5655,45.8229,-190.57
-114.188,45.8074,-207.62
-113.8008,45.7837,-210.98
-113.4498,45.8151,-226.49
-113.0553,45.797,-208.75
-118.8896,45.8991,-77.05
-118.5409,45.9319,-97.81
-118.2321,45.9198,-123.29
-117.9239,45.8971,-137.76
-117.4714,45.9248,-127.65
-117.0774,45.9004,-123.67
-116.7822,45.9052,-126.8
-116.4271,45.9359,-124.47
-116.0527,45.9104,-133.86
-115.7093,45.9286,-166.45
-115.2711,45.9296,-174.78
-114.922,45.8953,-195.62
-114.5733,45.9136,-190.08
-114.2352,45.9205,-203.1
-113.871,45.9012,-206.86
-113.4393,45.9218,-220.73
-113.0734,45.8993,-210.04
-118.9554,46.0058,-75.65
-118.5159,46.0402,-84.79
-118.2396,46.0181,-98.47
-117.8041,46.0035,-136.88
-117.5536,46.0171,-118.46
-117.0761,46.033,-111.99
-116.771,46.0438,-119.87
-116.3678,46.0172,-109.42
-115.9942,46.0446,-114.95
-115.727,46.012,-155.35
-115.2747,46.012,-181.18
