"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
1 1 81 37 42 66 102 132 45
1 2 80 35 41 62 92 132 41
1 3 79 33 38 59 94 132 41
1 4 81 36 43 67 100 131 44
1 5 79 34 37 82 92 131 36
1 6 75 31 29 102 90 131 31
1 7 75 32 29 105 90 131 31
1 8 73 33 30 106 92 132 33
1 9 77 34 34 98 102 132 40
1 10 78 35 36 96 110 132 43
1 11 82 37 38 96 113 134 44
1 12 81 37 38 94 111 134 44
1 13 81 37 38 86 107 134 46
1 14 81 36 41 73 96 134 47
1 15 83 37 43 61 85 134 45
1 16 82 35 35 61 82 134 39
1 17 78 32 32 72 89 133 36
1 18 78 31 34 69 100 137 42
1 19 80 35 40 76 116 145 50
1 20 81 35 40 77 114 145 49
1 21 80 35 39 79 110 145 46
1 22 80 36 38 79 107 141 44
1 23 79 35 38 81 105 138 42
1 24 76 35 38 78 102 138 42
1 25 76 34 36 76 89 138 38
1 26 78 35 38 66 69 115 32
1 27 72 29 32 44 22 114 14
1 28 64 22 21 19 12 115 7
1 29 65 21 19 17 12 116 8
1 30 65 22 19 16 17 112 8
2 1 80 37 41 65 98 132 44
2 2 78 35 40 62 92 132 41
2 3 79 32 37 58 92 132 40
2 4 81 35 42 65 101 131 44
2 5 82 36 40 74 94 131 37
2 6 77 32 31 98 91 131 31
2 7 74 32 29 104 92 131 33
2 8 76 35 32 98 96 132 39
2 9 79 36 36 90 106 132 44
2 10 79 35 38 85 110 132 45
2 11 78 36 39 81 112 133 48
2 12 82 38 42 77 109 133 51
2 13 85 40 45 71 104 132 53
2 14 88 41 49 61 106 131 59
2 15 87 42 51 66 97 132 52
2 16 77 33 32 73 81 133 36
2 17 75 31 30 78 86 133 34
2 18 75 31 30 71 87 133 38
2 19 77 32 36 65 104 145 44
2 20 80 35 39 72 112 145 48
2 21 79 36 38 77 111 145 45
2 22 78 36 38 77 106 143 45
2 23 77 36 37 77 102 137 42
2 24 78 35 38 79 104 135 42
2 25 78 35 38 81 104 134 42
2 26 79 36 38 78 92 122 41
2 27 80 35 39 64 57 117 29
2 28 70 27 26 31 21 117 10
2 29 64 22 20 18 13 117 6
2 30 64 22 20 16 12 112 6
3 1 81 37 41 64 97 132 44
3 2 80 36 41 62 93 132 42
3 3 79 33 40 59 91 132 40
3 4 77 33 40 60 96 131 42
3 5 80 34 39 67 97 131 42
3 6 80 35 37 80 101 131 43
3 7 78 36 38 84 101 131 43
3 8 80 36 36 80 100 132 44
3 9 81 36 38 75 101 132 44
3 10 79 35 39 66 96 132 43
3 11 79 34 37 71 98 132 41
3 12 81 36 38 79 100 130 43
3 13 84 37 38 78 97 130 45
3 14 89 38 42 71 104 130 50
3 15 88 38 45 66 103 132 50
3 16 79 35 36 76 90 133 38
3 17 74 33 31 91 91 133 34
3 18 76 33 29 92 98 133 39
3 19 76 34 37 76 100 142 45
3 20 80 35 39 74 109 142 48
3 21 80 36 40 78 109 140 46
3 22 81 36 40 74 102 138 43
3 23 77 35 37 70 99 132 41
3 24 78 36 38 79 106 132 44
3 25 78 36 38 81 107 132 44
3 26 78 35 38 81 99 126 41
3 27 80 35 37 69 76 117 34
3 28 74 29 30 41 35 117 17
3 29 66 23 21 21 12 117 6
3 30 65 22 18 16 11 113 6
4 1 80 36 41 65 95 132 44
4 2 80 36 41 64 93 132 42
4 3 79 33 40 59 87 132 37
4 4 78 33 40 61 89 133 40
4 5 78 34 40 62 94 132 42
4 6 80 33 38 63 98 133 42
4 7 81 34 38 67 98 133 43
4 8 79 35 38 68 94 132 44
4 9 81 35 37 65 92 132 44
4 10 78 34 36 70 92 132 37
4 11 74 31 30 84 90 132 34
4 12 74 33 31 92 93 130 35
4 13 76 34 30 90 88 130 35
4 14 74 33 32 85 88 130 36
4 15 77 33 33 75 85 131 38
4 16 78 34 35 73 87 133 37
4 17 76 34 31 94 94 133 34
4 18 75 33 30 98 101 133 37
4 19 78 34 35 82 105 137 44
4 20 79 35 38 72 112 139 49
4 21 80 34 41 76 115 139 50
4 22 81 36 42 74 104 139 47
4 23 77 35 40 68 98 133 43
4 24 78 35 38 77 108 132 45
4 25 79 35 38 81 109 132 44
4 26 78 33 35 75 101 130 41
4 27 77 32 33 63 78 117 34
4 28 78 33 34 53 52 117 27
4 29 73 30 29 38 21 117 14
4 30 65 22 19 18 12 115 7
5 1 81 36 41 66 97 137 43
5 2 82 36 41 66 98 139 43
5 3 78 34 40 63 87 140 40
5 4 79 33 41 63 93 139 42
5 5 81 36 42 67 95 133 42
5 6 78 33 38 62 90 133 43
5 7 80 35 39 68 97 133 45
5 8 80 35 38 69 93 133 44
5 9 78 35 36 69 91 132 41
5 10 76 33 32 79 92 132 36
5 11 73 32 29 88 92 132 34
5 12 73 32 30 93 94 130 33
5 13 74 34 29 94 90 130 33
5 14 74 33 29 93 90 130 34
5 15 74 33 30 92 89 130 35
5 16 75 33 32 87 90 135 36
5 17 76 34 30 99 97 136 33
5 18 75 34 31 101 100 136 37
5 19 77 33 34 85 103 137 43
5 20 78 33 38 68 108 139 47
5 21 80 35 42 74 120 139 52
5 22 82 36 43 72 116 139 50
5 23 80 35 39 68 103 135 43
5 24 77 32 34 62 99 132 39
5 25 76 30 32 58 101 132 36
5 26 72 28 28 50 78 128 31
5 27 70 27 26 48 68 119 27
5 28 78 32 33 56 76 120 36
5 29 77 35 36 60 53 121 24
5 30 68 24 22 21 14 118 7
6 1 79 34 38 63 96 140 42
6 2 81 35 38 68 98 140 43
6 3 80 35 40 68 97 140 42
6 4 82 35 40 68 96 140 43
6 5 82 36 41 69 99 133 47
6 6 81 35 38 66 95 133 44
6 7 81 36 39 75 102 133 44
6 8 79 36 38 75 98 133 43
6 9 77 35 37 71 95 132 41
6 10 76 34 34 76 93 132 37
6 11 74 33 30 88 94 131 34
6 12 74 32 30 93 94 130 34
6 13 74 33 29 94 92 129 34
6 14 75 33 29 93 91 129 34
6 15 75 33 30 91 94 129 35
6 16 74 33 31 94 94 135 36
6 17 76 34 31 97 99 136 37
6 18 77 32 32 98 101 136 38
6 19 77 33 34 82 102 136 42
6 20 75 30 35 58 92 139 39
6 21 76 30 32 58 106 139 41
6 22 76 30 32 58 98 134 37
6 23 75 29 30 53 80 127 30
6 24 70 28 27 45 62 119 25
6 25 68 25 23 35 52 116 19
6 26 67 24 22 36 48 116 19
6 27 67 26 24 42 56 119 23
6 28 75 30 30 50 73 121 34
6 29 80 34 37 59 63 121 29
6 30 71 26 27 28 19 121 9
7 1 75 31 33 46 85 140 40
7 2 76 32 33 53 95 140 41
7 3 77 33 35 60 94 140 41
7 4 81 34 36 67 97 140 42
7 5 81 35 38 66 101 135 44
7 6 84 36 40 70 102 133 43
7 7 80 35 38 77 102 134 43
7 8 80 37 37 79 103 134 44
7 9 78 37 37 76 101 130 44
7 10 79 35 35 78 95 130 38
7 11 75 34 32 86 96 130 36
7 12 74 33 32 92 98 130 37
7 13 75 34 33 93 97 129 38
7 14 75 34 31 91 94 129 35
7 15 75 33 30 89 93 129 35
7 16 75 33 32 88 95 133 36
7 17 74 33 32 88 98 136 37
7 18 77 34 35 84 100 136 41
7 19 80 34 38 73 93 136 41
7 20 72 28 30 51 68 126 29
7 21 69 26 25 44 54 122 21
7 22 68 25 23 43 56 122 18
7 23 68 26 25 43 54 121 21
7 24 69 26 24 37 42 116 18
7 25 67 25 22 33 36 116 16
7 26 66 24 21 34 37 116 14
7 27 66 25 22 39 46 118 19
7 28 71 28 26 47 66 121 30
7 29 79 33 35 58 72 121 34
7 30 75 30 31 40 35 121 18
8 1 75 29 32 38 68 140 38
8 2 74 31 31 38 77 141 38
8 3 74 31 32 41 76 143 37
8 4 77 29 32 46 81 146 37
8 5 78 31 33 51 89 142 40
8 6 80 35 39 66 98 135 43
8 7 81 35 38 74 102 135 43
8 8 80 36 37 77 105 135 45
8 9 81 37 38 78 102 131 44
8 10 79 37 39 77 100 130 42
8 11 77 34 36 78 95 130 38
8 12 74 31 31 87 94 130 35
8 13 79 34 34 90 95 129 36
8 14 75 33 30 88 90 129 34
8 15 74 32 28 91 91 129 34
8 16 74 32 29 90 90 131 34
8 17 75 33 28 91 92 136 36
8 18 77 35 35 84 102 136 42
8 19 83 36 41 75 102 136 45
8 20 77 33 36 63 74 127 34
8 21 68 28 29 50 52 122 23
8 22 69 26 25 44 50 122 22
8 23 69 26 25 41 47 122 20
8 24 65 23 20 34 36 116 13
8 25 68 25 22 34 36 116 14
8 26 65 23 21 32 32 116 13
8 27 66 24 22 37 41 117 15
8 28 70 27 26 45 59 121 27
8 29 75 31 31 54 75 121 34
8 30 77 32 34 46 52 121 25
9 1 73 29 31 37 61 147 36
9 2 73 29 31 38 63 149 36
9 3 72 29 30 37 63 149 35
9 4 74 27 30 36 63 149 35
9 5 75 28 31 40 71 146 37
9 6 78 33 37 62 95 135 43
9 7 80 35 37 75 100 135 43
9 8 80 35 38 76 103 135 45
9 9 82 36 40 73 102 133 44
9 10 81 36 39 75 99 130 42
9 11 78 35 37 76 94 130 38
9 12 75 32 31 88 91 130 33
9 13 73 31 28 94 92 129 34
9 14 75 32 28 95 90 129 32
9 15 72 31 27 97 90 129 32
9 16 75 32 29 99 92 129 31
9 17 75 33 29 97 94 136 36
