"x","y","depth"
3.24,114.13,131
3.25,3.8,85
3.52,27.71,63
3.58,45.03,181
3.94,25.4,172
4.01,65.44,253
4.47,31.24,60
4.54,35.75,126
4.54,104.42,128
4.55,73.48,90
4.92,125.62,138
5.28,16.63,215
5.39,84.84,160
5.4,94.1,128
5.69,23.91,85
5.94,56.64,171
5.99,33.37,1
6.26,72.58,73
6.29,25.1,137
6.66,30.43,71
7.06,29.98,76
7.19,27.97,82
7.39,26.86,102
9.44,28.51,4
9.66,2,155
9.73,30.81,41
9.77,30.42,97
9.9,73.97,79
10.03,23.58,106
10.07,27.77,87
10.25,25.36,79
10.44,67.89,94
11,75.07,89
11.57,75.68,65
11.98,71.67,95
12.61,4.92,97
12.98,19.45,55
12.99,69.01,82
13.24,0.51,147
13.25,18.6,47
13.36,104.66,55
13.38,5.1,136
13.67,1.78,11
13.83,126.63,128
13.93,20.11,139
13.98,43.31,194
14.03,96.3,142
14.06,24.97,168
14.27,114.13,149
14.54,55.73,53
14.92,1.44,85
14.98,35.87,99
15.05,18.11,49
15.29,73.6,159
15.33,69.04,105
15.52,14.6,179
15.82,4.82,108
15.86,75.05,92
16.02,17.59,115
16.06,84.52,65
16.19,64.85,190
16.37,4.04,51
16.55,25.58,115
16.9,23.94,6
17.37,74.04,118
17.86,24.05,41
18.13,4.6,61
18.25,21.32,59
19.01,2.45,91
19.6,18.65,70
19.72,23.57,81
19.96,22.18,52
22.01,75.37,65
22.11,20.03,122
23.22,6.49,168
23.72,26.24,113
23.89,105.78,140
23.94,35.83,110
24.13,20.39,50
24.22,73.63,110
24.72,78.3,93
24.76,86.37,55
25,13.36,111
25.06,80.05,112
25.24,70.31,72
25.24,113.95,149
25.37,55.71,230
25.6,69.74,37
25.73,77.92,70
25.86,80.17,89
25.99,124.33,155
26.02,64.59,200
26.06,44.61,239
26.37,67.6,90
26.6,73.27,96
26.61,94.46,199
26.66,74.92,3
26.67,74.85,168
26.76,74.91,18
26.91,76.64,35
27.19,77.47,48
27.24,75.39,101
27.41,77.21,141
28.04,77.99,65
28.19,76.21,30
29.48,77.48,45
29.6,72.13,66
29.95,77.95,97
29.96,76.96,66
30.01,72.04,125
30.34,72.85,70
30.36,73.01,53
30.38,77.56,67
31.44,76.33,32
31.62,73.23,67
31.72,77.04,112
31.75,76.32,118
32.77,77.66,40
33.35,78.94,56
33.5,63.27,164
33.52,95.92,117
33.53,44.78,162
33.68,55.48,133
33.94,14.27,233
34.44,84.56,183
34.7,74.88,88
35.24,77.9,88
35.31,75.43,128
35.31,105.26,134
35.4,124.48,149
35.52,3.25,15
36.39,24.3,92
36.39,114.44,145
36.51,35.94,222
43.2,25.17,132
43.6,56.67,239
43.98,43.24,162
44.02,75,114
44.08,126.39,120
44.16,74.04,53
44.23,114,103
44.47,55.37,129
44.63,104.63,81
44.75,95.41,160
44.8,85.62,86
45.13,54.49,34
45.27,16.66,137
45.43,64.06,130
45.88,34.86,163
46.08,4.11,110
46.35,53.21,130
46.72,68.99,71
47.22,72.94,4
47.85,74.18,38
47.86,69.56,112
49.23,59.5,36
49.27,57.95,92
49.43,54.88,6
49.5,72.57,99
49.5,76.08,127
49.98,57.69,27
50.2,76.83,86
50.84,52.22,95
51.01,68.39,37
51.08,62.96,100
51.2,68.4,55
52.41,62.7,61
52.81,55.07,0
53.91,36.28,97
54.21,95.61,155
54.47,54.72,95
54.49,3.82,131
54.6,25.39,85
55.23,63.24,212
55.24,107.2,117
55.39,58.2,70
56,14.28,211
56.01,125.01,112
56.31,116.04,121
56.39,86.47,143
56.54,43.38,106
56.73,76.72,67
59.27,91.27,107
59.34,88.63,146
61.62,86.85,121
61.64,86.83,11
62.28,86.74,33
62.44,84.54,53
62.99,108.15,59
63.15,87.68,84
63.3,44.26,197
63.31,84.45,146
63.45,107.09,59
63.75,5.06,232
63.89,96.55,196
64.08,88.73,11
64.36,110.05,53
64.39,89.75,154
64.61,114.53,71
64.63,23.72,221
64.66,56.26,156
64.78,91.71,111
64.94,15.97,184
65.06,89.66,64
65.31,107.9,54
65.34,65.43,146
65.46,87.21,91
65.56,34.95,206
65.64,102.7,52
65.76,74.26,209
65.92,124.73,95
66.21,101.87,50
66.3,107.78,53
66.54,84.7,79
66.9,48.97,76
66.97,104.46,33
67.08,47.7,39
67.64,48.08,41
67.85,50.98,58
68.24,109.95,78
68.36,110.14,73
68.41,111.29,65
68.42,45.11,72
68.53,108.5,49
68.71,107.95,67
69.08,87.9,78
69.1,42.09,99
69.19,90.3,68
69.33,44.66,60
69.44,89.6,40
69.56,43.76,108
69.86,47.5,97
69.88,42.58,45
69.96,50.08,110
70.19,90.09,98
71.06,41.2,91
71.08,41.53,49
71.33,40.63,72
71.49,47.16,6
71.69,45.15,40
71.8,47.31,66
72.09,99.03,63
72.9,37.95,15
72.99,38.79,101
73.24,96.67,147
73.25,86.02,142
73.27,45.49,197
73.73,47.71,91
73.77,125.31,144
74.02,115.93,157
74.03,14.38,161
74.13,51.5,114
74.6,95.46,27
74.66,42.16,102
74.68,50.71,27
74.69,37.73,14
75.36,95.91,193
75.38,45.07,100
75.6,36.02,127
75.62,54.75,130
75.65,76.01,205
75.67,66.73,225
75.88,5.15,247
75.89,44.74,100
75.9,25.96,142
75.95,68.17,68
76.2,103.97,123
76.36,69.15,84
76.49,41.25,32
76.51,47.22,60
77.03,41.98,55
77.22,98.05,73
77.24,95.46,128
77.34,39.38,122
77.36,95.8,13
77.48,76.57,57
77.98,95.06,95
78,39.39,51
78.24,75.69,41
78.36,98.45,99
78.87,74.86,30
78.92,97.32,104
78.94,77.77,198
79.19,72.39,92
79.42,68.23,48
79.77,69.49,75
79.78,74.31,79
79.79,73.5,132
80.73,71.81,27
81.08,99.41,39
81.35,100,102
83.2,69.67,101
83.34,75.56,40
83.8,53.22,131
84.15,86.49,85
84.84,0.87,146
84.95,115.5,150
84.96,14.76,164
85.23,76.4,185
85.43,36.33,119
85.62,46.71,205
85.67,25.65,235
86.17,63.52,229
86.2,105.97,123
86.35,94.81,152
86.46,3.77,243
86.85,125.04,161
89.6,6.53,68
90.58,1.44,75
91.37,2.15,61
91.38,6.85,21
91.66,1.87,95
91.88,49.77,43
91.88,52.18,71
92.19,2.7,51
92.34,51.88,92
92.53,5.32,62
93.24,16.45,104
93.47,74.34,111
93.81,84.84,116
93.94,4.89,146
93.95,94.77,168
94.18,47.74,26
94.39,3.21,43
94.54,115.35,141
94.78,56.71,117
94.89,1.75,141
95.05,23.48,82
95.27,51.3,151
95.59,33.98,185
